iteration, 300
pop_size, 200
LNK_strat, AVG
L2agg_strat, AVG
dec_strat, MAJ3
popname, pop1(3-8).csv
netname, net1.csv
COMMF, 0.75

agent,iteration,layer1,layer2,decision,payoff,dec_base,change
agent000,0,37,20,20,20.0,norm,16
agent001,0,15,20,20,20.0,norm,6
agent002,0,13,21,21,21.0,norm,9
agent003,0,38,20,20,20.0,norm,17
agent004,0,15,22,22,22.0,norm,9
agent005,0,26,21,21,21.0,norm,3
agent006,0,23,23,23,23.0,norm=self,2
agent007,0,3,24,3,3.0,self,1
agent008,0,42,23,23,23.0,norm,17
agent009,0,31,21,21,21.0,norm,9
agent00a,0,18,20,20,20.0,norm,3
agent00b,0,33,23,23,23.0,norm,7
agent00c,0,32,21,21,21.0,norm,10
agent00d,0,12,20,12,12.0,self,2
agent00e,0,33,20,33,33.0,self,1
agent00f,0,14,21,21,21.0,norm,10
agent010,0,39,23,39,39.0,self,2
agent011,0,22,20,20,20.0,norm,0
agent012,0,12,21,21,21.0,norm,10
agent013,0,34,20,20,20.0,norm,11
agent014,0,15,21,21,21.0,norm,9
agent015,0,17,23,17,17.0,self,1
agent016,0,30,23,30,30.0,self,1
agent017,0,36,22,22,22.0,norm,12
agent018,0,18,19,18,18.0,self,3
agent019,0,33,21,21,21.0,norm,9
agent01a,0,12,21,21,21.0,norm,10
agent01b,0,15,23,23,23.0,norm,9
agent01c,0,10,22,22,22.0,norm,15
agent01d,0,35,21,21,21.0,norm,11
agent01e,0,18,23,23,23.0,norm,6
agent01f,0,41,22,22,22.0,norm,18
agent020,0,42,23,23,23.0,norm,16
agent021,0,5,20,20,20.0,norm,17
agent022,0,23,23,23,23.0,norm=self,3
agent023,0,15,23,23,23.0,norm,9
agent024,0,22,24,22,22.0,self,1
agent025,0,37,20,20,20.0,norm,14
agent026,0,40,22,22,22.0,norm,15
agent027,0,7,19,7,7.0,self,3
agent028,0,29,19,29,29.0,self,1
agent029,0,27,22,22,22.0,norm,2
agent02a,0,29,22,22,22.0,norm,5
agent02b,0,7,22,22,22.0,norm,18
agent02c,0,39,21,21,21.0,norm,16
agent02d,0,28,20,20,20.0,norm,7
agent02e,0,8,22,22,22.0,norm,15
agent02f,0,16,22,22,22.0,norm,7
agent030,0,19,24,19,19.0,self,1
agent031,0,21,24,21,21.0,self,3
agent032,0,39,20,39,39.0,self,1
agent033,0,8,21,21,21.0,norm,14
agent034,0,22,20,20,20.0,norm,1
agent035,0,7,21,21,21.0,norm,16
agent036,0,21,24,21,21.0,self,3
agent037,0,3,20,20,20.0,norm,18
agent038,0,17,22,22,22.0,norm,7
agent039,0,7,21,21,21.0,norm,15
agent03a,0,27,20,20,20.0,norm,4
agent03b,0,42,24,42,42.0,self,2
agent03c,0,10,22,22,22.0,norm,13
agent03d,0,7,21,21,21.0,norm,15
agent03e,0,10,20,20,20.0,norm,13
agent03f,0,10,24,10,10.0,self,2
agent040,0,9,22,22,22.0,norm,14
agent041,0,28,18,28,28.0,self,3
agent042,0,28,21,21,21.0,norm,4
agent043,0,30,20,20,20.0,norm,8
agent044,0,32,23,23,23.0,norm,7
agent045,0,22,20,20,20.0,norm,1
agent046,0,12,21,21,21.0,norm,11
agent047,0,4,22,22,22.0,norm,20
agent048,0,41,23,41,41.0,self,1
agent049,0,26,21,21,21.0,norm,3
agent04a,0,27,22,22,22.0,norm,2
agent04b,0,37,22,22,22.0,norm,13
agent04c,0,31,21,21,21.0,norm,9
agent04d,0,25,22,22,22.0,norm,0
agent04e,0,41,18,41,41.0,self,3
agent04f,0,37,22,22,22.0,norm,13
agent050,0,7,23,23,23.0,norm,17
agent051,0,31,21,21,21.0,norm,9
agent052,0,25,22,22,22.0,norm,1
